date,time,home_team,home_team_number,away_team,away_team_number,goal_team,goal_time,result_home_team,result_away_team,valid_goal,season,day,match_id
2023/07/28,20:45:00,Union SG,9,RSCA,None,Union SG,30',1,0,True,2023,1,4093105
2023/07/28,20:45:00,Union SG,9,RSCA,None,Union SG,90+8',2,0,True,2023,1,4093105
2023/07/29,16:00:00,KAS Eupen,1792,KVCWes,None,KAS Eupen,20',1,0,True,2023,1,4093106
2023/07/29,16:00:00,KAS Eupen,1792,KVCWes,None,KAS Eupen,55',2,0,True,2023,1,4093106
2023/07/29,16:00:00,KAS Eupen,1792,KVCWes,None,KVCWes,69',2,1,True,2023,1,4093106
2023/07/29,16:00:00,KAS Eupen,1792,KVCWes,None,KVCWes,90+1',2,2,True,2023,1,4093106
2023/07/29,18:15:00,R Charleroi SC,29,OHL,None,R Charleroi SC,10',1,0,True,2023,1,4093107
2023/07/29,18:15:00,R Charleroi SC,29,OHL,None,R Charleroi SC,17',1,0,False,2023,1,4093107
2023/07/29,18:15:00,R Charleroi SC,29,OHL,None,OHL,84',1,1,True,2023,1,4093107
2023/07/29,20:45:00,RWDM,47,Genk,290,Genk,31',0,1,True,2023,1,4093108
2023/07/29,20:45:00,RWDM,47,Genk,290,Genk,38',0,2,True,2023,1,4093108
2023/07/29,20:45:00,RWDM,47,Genk,290,Genk,45',0,3,True,2023,1,4093108
2023/07/29,20:45:00,RWDM,47,Genk,290,Genk,71',0,4,True,2023,1,4093108
2023/07/30,13:30:00,Antwerp FC,1,Cercle,12,Antwerp FC,45+1',1,0,True,2023,1,4093109
2023/07/30,16:00:00,KAA Gent,7,KVK,100,KVK,5',0,1,True,2023,1,4093110
2023/07/30,16:00:00,KAA Gent,7,KVK,100,KAA Gent,8',1,1,True,2023,1,4093110
2023/07/30,16:00:00,KAA Gent,7,KVK,100,KAA Gent,30',2,1,True,2023,1,4093110
2023/07/30,16:00:00,KAA Gent,7,KVK,100,KAA Gent,71',3,1,True,2023,1,4093110
2023/07/30,16:00:00,KAA Gent,7,KVK,100,KVK,86',3,2,True,2023,1,4093110
2023/07/30,18:30:00,Club Brugge,3,KVM,None,KVM,38',0,1,True,2023,1,4093111
2023/07/30,18:30:00,Club Brugge,3,KVM,None,Club Brugge,65',1,1,True,2023,1,4093111
2023/07/30,18:30:00,Club Brugge,3,KVM,None,Club Brugge,77',1,1,False,2023,1,4093111
2023/07/30,19:15:00,St-Truidense VV,322,SL,231,St-Truidense VV,86',1,0,True,2023,1,4093112
2023/08/04,20:45:00,Standard Luik,16,RUSG,None,RUSG,21',0,1,True,2023,2,4098763
2023/08/04,20:45:00,Standard Luik,16,RUSG,None,Standard Luik,36',0,1,False,2023,2,4098763
2023/08/05,16:00:00,KRC Genk,290,Eupen,92,Eupen,2',0,1,True,2023,2,4098764
2023/08/05,18:15:00,Cercle Brugge,12,RCSC,None,Cercle Brugge,16',1,0,True,2023,2,4098765
2023/08/05,18:15:00,Cercle Brugge,12,RCSC,None,Cercle Brugge,43',2,0,True,2023,2,4098765
2023/08/05,20:45:00,OH Leuven,2495,RWDM,47,OH Leuven,18',1,0,True,2023,2,4098766
2023/08/05,20:45:00,OH Leuven,2495,RWDM,47,RWDM,44',1,1,True,2023,2,4098766
2023/08/05,20:45:00,OH Leuven,2495,RWDM,47,RWDM,48',1,2,True,2023,2,4098766
2023/08/06,13:30:00,RSC Anderlecht,35,RAFC,2449,RSC Anderlecht,45+5',1,0,True,2023,2,4098767
2023/08/06,16:00:00,KV Mechelen,25,Gent,7,Gent,54',0,1,True,2023,2,4098768
2023/08/06,16:00:00,KV Mechelen,25,Gent,7,KV Mechelen,90+5',0,1,False,2023,2,4098768
2023/08/06,18:30:00,KVC Westerlo,867,FCB,253,FCB,36',0,1,True,2023,2,4098769
2023/08/06,19:15:00,KV Kortrijk,19,STVV,None,STVV,56',0,1,True,2023,2,4098770
2023/08/11,20:45:00,Antwerp FC,1,KVK,100,Antwerp FC,10',1,0,True,2023,3,4098795
2023/08/11,20:45:00,Antwerp FC,1,KVK,100,Antwerp FC,22',2,0,True,2023,3,4098795
2023/08/11,20:45:00,Antwerp FC,1,KVK,100,Antwerp FC,36',3,0,True,2023,3,4098795
2023/08/11,20:45:00,Antwerp FC,1,KVK,100,Antwerp FC,44',4,0,True,2023,3,4098795
2023/08/11,20:45:00,Antwerp FC,1,KVK,100,Antwerp FC,58',5,0,True,2023,3,4098795
2023/08/11,20:45:00,Antwerp FC,1,KVK,100,Antwerp FC,67',6,0,True,2023,3,4098795
2023/08/12,16:00:00,RWDM,47,KVM,None,RWDM,74',1,0,True,2023,3,4098796
2023/08/12,18:15:00,Union SG,9,OHL,None,Union SG,21',1,0,True,2023,3,4098797
2023/08/12,18:15:00,Union SG,9,OHL,None,Union SG,34',2,0,True,2023,3,4098797
2023/08/12,18:15:00,Union SG,9,OHL,None,OHL,38',2,1,True,2023,3,4098797
2023/08/12,18:15:00,Union SG,9,OHL,None,Union SG,65',3,1,True,2023,3,4098797
2023/08/12,18:15:00,Union SG,9,OHL,None,Union SG,74',4,1,True,2023,3,4098797
2023/08/12,18:15:00,Union SG,9,OHL,None,Union SG,90+7',5,1,True,2023,3,4098797
2023/08/13,13:30:00,St-Truidense VV,322,RSCA,None,RSCA,53',0,1,True,2023,3,4098799
2023/08/13,13:30:00,St-Truidense VV,322,RSCA,None,RSCA,56',0,1,False,2023,3,4098799
2023/08/13,16:00:00,Cercle Brugge,12,Genk,290,Genk,71',0,1,True,2023,3,4098798
2023/08/13,16:00:00,KAS Eupen,1792,FCB,253,FCB,6',0,1,True,2023,3,4098800
2023/08/13,16:00:00,KAS Eupen,1792,FCB,253,FCB,17',0,2,True,2023,3,4098800
2023/08/13,16:00:00,KAS Eupen,1792,FCB,253,FCB,29',0,3,True,2023,3,4098800
2023/08/13,16:00:00,KAS Eupen,1792,FCB,253,FCB,62',0,4,True,2023,3,4098800
2023/08/13,16:00:00,KAS Eupen,1792,FCB,253,FCB,66',0,5,True,2023,3,4098800
2023/08/13,18:30:00,R Charleroi SC,29,SL,231,SL,31',0,1,True,2023,3,4098801
2023/08/13,18:30:00,R Charleroi SC,29,SL,231,SL,88',0,1,False,2023,3,4098801
2023/08/13,18:30:00,R Charleroi SC,29,SL,231,R Charleroi SC,90+1',1,1,True,2023,3,4098801
2023/08/13,18:30:00,R Charleroi SC,29,SL,231,R Charleroi SC,90+8',1,1,False,2023,3,4098801
2023/08/13,19:15:00,KVC Westerlo,867,Gent,7,KVC Westerlo,18',1,0,True,2023,3,4098802
2023/08/13,19:15:00,KVC Westerlo,867,Gent,7,Gent,35',1,1,True,2023,3,4098802
2023/08/13,19:15:00,KVC Westerlo,867,Gent,7,Gent,60',1,2,True,2023,3,4098802
2023/08/13,19:15:00,KVC Westerlo,867,Gent,7,Gent,74',1,3,True,2023,3,4098802
2023/08/18,20:45:00,OH Leuven,2495,RAFC,2449,RAFC,34',0,1,True,2023,4,4098771
2023/08/18,20:45:00,OH Leuven,2495,RAFC,2449,OH Leuven,82',1,1,True,2023,4,4098771
2023/08/18,20:45:00,OH Leuven,2495,RAFC,2449,OH Leuven,87',1,1,False,2023,4,4098771
2023/08/19,16:00:00,Standard Luik,16,Cercle,12,Cercle,76',0,1,True,2023,4,4098772
2023/08/19,20:45:00,KV Mechelen,25,RUSG,None,KV Mechelen,38',1,0,True,2023,4,4098774
2023/08/19,20:45:00,KV Mechelen,25,RUSG,None,KV Mechelen,78',2,0,True,2023,4,4098774
2023/08/19,20:45:00,KV Mechelen,25,RUSG,None,KV Mechelen,89',3,0,True,2023,4,4098774
2023/08/19,20:45:00,KV Mechelen,25,RUSG,None,KV Mechelen,90+5',4,0,True,2023,4,4098774
2023/08/20,13:30:00,RSC Anderlecht,35,KVCWes,None,RSC Anderlecht,1',1,0,True,2023,4,4098775
